device,ecdh_encrypt_avg_us,ecdh_encrypt_min_us,ecdh_encrypt_max_us,aes_encrypt_avg_ms,aes_encrypt_min_ms,aes_encrypt_max_ms,total_encrypt_avg_ms,total_encrypt_min_ms,total_encrypt_max_ms,ecdh_decrypt_avg_us,ecdh_decrypt_min_us,ecdh_decrypt_max_us,aes_decrypt_avg_ms,aes_decrypt_min_ms,aes_decrypt_max_ms,total_decrypt_avg_ms,total_decrypt_min_ms,total_decrypt_max_ms
Jetson Orin Nano(7W),285.00,274.00,350.00,277.00,274.00,289.00,278.00,275.00,289.00,422.00,235.00,665.00,279.00,276.00,282.00,279.00,276.00,282.00
Jetson Orin Nano(15W),202.00,187.00,355.00,195.00,189.00,220.00,195.00,189.00,220.00,371.00,150.00,5000.00,194.00,186.00,219.00,195.00,187.00,219.00
RaspberryPi4,401.00,386.00,633.00,2370.00,2224.00,3033.00,2370.00,2225.00,3033.00,482.00,337.00,1000.00,2394.00,2231.00,3363.00,2395.00,2232.00,3364.00
MacBook Pro,67.00,57.00,87.00,80.00,55.00,476.00,80.00,55.00,476.00,55.00,47.00,79.00,81.00,55.00,424.00,81.00,55.00,424.00
WSL,147.00,118.00,310.00,309.00,268.00,534.00,309.00,268.00,534.00,254.00,130.00,703.00,319.00,264.00,694.00,319.00,264.00,694.00
